# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     15     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     15     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     17     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     17     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     17     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     17     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     17     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     17     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     16     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     15     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     15     29      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     27     33      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0     31      7 
    0    309     38      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      7 
    0    321     39      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     30      8 
    0    322     40      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      9 
    0    322     40      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     49      8 
    0    323     41      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     34     22 
    0    325     41      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     33     10 
    0    324     42      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     40      9 
    0    324     42      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     37      8 
    0    324     42      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      7 
    0    324     43      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      7 
    0    325     43      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     30      8 
    0    326     43      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     32      7 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    326     43      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      8 
    0    326     44      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     34      7 
    0    325     44      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     33      7 
    0    326     44      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     33      8 
    0    326     44      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     37      8 
    0    327     45      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     28      7 
    0    327     45      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     29      7 
    0    327     45      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     50      7 
    0    327     45      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      8 
    0    328     46      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     33      7 
    0    328     46      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     34      8 
    0    328     46      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     34      8 
    0    328     46      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     37      7 
    0    329     46      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     35      8 
    0    328     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     28      9 
    0    329     47      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     46      7 
    0    329     47      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     33      7 
    0    329     47      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      8 
    0    330     47      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     49      7 
    0    329     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     32      7 
    0    329     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     33     11 
    0    329     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     37      7 
    0    330     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     36      7 
    0    329     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     28      7 
    0    331     48      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      7 
    0    331     49      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      8 
    0    331     49      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0     31      7 
    0    331     49      -    100    100      0      0      0      0  10251   2805      0      0  22264  22264      0      -      -      0     34      7 
    0    331     49      -    100    100      0      0      0      0  10251   2805      0      0  22264  22264      0      -      -      0     33      7 
    0    331     49      -    100    100      0      0      0      0  10251   2805      0      0  22264  22264      0      -      -      0     33      8 
    0    331     49      -    100    100      0      0      0      0  10251   2805      0      0  22264  22264      0      -      -      0     35      8 
    0    332     50      -    100    100      0      0      0      0  10251   2805      0      0  22264  22264      0      -      -      0     37      7 
    0    261     44      -    100    100      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0      0      0 
    0     93     43      -      0      0      0      0      0      0  10251   2820      0      0  22264  22264      0      -      -      0      0      0 
    0     65     42      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     59     41      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     41      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     41      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     40      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     40      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     40      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     40      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     40      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     39      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     39      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     39      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     54     39      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     53     39      -      0      0      0      0      0      0  10251   2520      0      0  22264  22264      0      -      -      0      0      0 
    0     46     38      -      0      0      0      0      0      0    810    420      0      0  22264  22264      0      -      -      0      0      0 
    0     31     37      -      0      0      0      0      0      0    405    270      0      0  22264  22264      0      -      -      0      0      0 
    0     21     37      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     19     37      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     19     37      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
    0     19     36      -      0      0      0      0      0      0    405    210      0      0  22264  22264      0      -      -      0      0      0 
